#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
10,Thu Sep 10 18:02:12 PDT 2020,4,0,RequiredClassesSuite,SocialDistanceClassRegistryProvided , ,BasicMainTest CompareSafetyComputationsTest DerivedSafetyTest DerivingMainTest GenerateSafeDistancesAndDurationsTest GivenSafetyTest InferringMainTest InterpolatedSafetyTest InterpolatingMainTest IsInferredSafeTest IsInterpolatedOneParameterSafetyTest IsInterpolatedTwoParameterSafetyTest PrintGeneratedCombinationDerivedSafetyTest PrintGeneratedCombinationInferredSafetyTest PrintGivenAndGeneratedCombinationDerivedTest PrintSafeDistancesAndDurationsTest SafeSocializationtxtProvided SocialDistanceBasicMainProvided SocialDistanceDerivingMainProvided SocialDistanceInferringMainProvided SocialDistanceInterpolatingMainProvided SocialDistanceNoCheckstyleWarnings SocialDistanceUtilityProvided SocialDistanceUtilityTesterMainProvided , ,
11,Thu Sep 10 18:02:17 PDT 2020,4,0,UtilityClassSuite,SocialDistanceClassRegistryProvided , ,BasicMainTest CompareSafetyComputationsTest DerivedSafetyTest DerivingMainTest GenerateSafeDistancesAndDurationsTest GivenSafetyTest InferringMainTest InterpolatedSafetyTest InterpolatingMainTest IsInferredSafeTest IsInterpolatedOneParameterSafetyTest IsInterpolatedTwoParameterSafetyTest PrintGeneratedCombinationDerivedSafetyTest PrintGeneratedCombinationInferredSafetyTest PrintGivenAndGeneratedCombinationDerivedTest PrintSafeDistancesAndDurationsTest SafeSocializationtxtProvided SocialDistanceBasicMainProvided SocialDistanceDerivingMainProvided SocialDistanceInferringMainProvided SocialDistanceInterpolatingMainProvided SocialDistanceNoCheckstyleWarnings SocialDistanceUtilityProvided SocialDistanceUtilityTesterMainProvided , ,
12,Thu Sep 10 18:02:18 PDT 2020,4,0,UtilityClassSuite,SocialDistanceClassRegistryProvided , ,BasicMainTest CompareSafetyComputationsTest DerivedSafetyTest DerivingMainTest GenerateSafeDistancesAndDurationsTest GivenSafetyTest InferringMainTest InterpolatedSafetyTest InterpolatingMainTest IsInferredSafeTest IsInterpolatedOneParameterSafetyTest IsInterpolatedTwoParameterSafetyTest PrintGeneratedCombinationDerivedSafetyTest PrintGeneratedCombinationInferredSafetyTest PrintGivenAndGeneratedCombinationDerivedTest PrintSafeDistancesAndDurationsTest SafeSocializationtxtProvided SocialDistanceBasicMainProvided SocialDistanceDerivingMainProvided SocialDistanceInferringMainProvided SocialDistanceInterpolatingMainProvided SocialDistanceNoCheckstyleWarnings SocialDistanceUtilityProvided SocialDistanceUtilityTesterMainProvided , ,
13,Thu Sep 10 18:02:19 PDT 2020,4,0,StyleSuite,SocialDistanceClassRegistryProvided , ,BasicMainTest CompareSafetyComputationsTest DerivedSafetyTest DerivingMainTest GenerateSafeDistancesAndDurationsTest GivenSafetyTest InferringMainTest InterpolatedSafetyTest InterpolatingMainTest IsInferredSafeTest IsInterpolatedOneParameterSafetyTest IsInterpolatedTwoParameterSafetyTest PrintGeneratedCombinationDerivedSafetyTest PrintGeneratedCombinationInferredSafetyTest PrintGivenAndGeneratedCombinationDerivedTest PrintSafeDistancesAndDurationsTest SafeSocializationtxtProvided SocialDistanceBasicMainProvided SocialDistanceDerivingMainProvided SocialDistanceInferringMainProvided SocialDistanceInterpolatingMainProvided SocialDistanceNoCheckstyleWarnings SocialDistanceUtilityProvided SocialDistanceUtilityTesterMainProvided , ,
14,Thu Sep 10 18:02:27 PDT 2020,4,0,UtilityClassSuite,SocialDistanceClassRegistryProvided , ,BasicMainTest CompareSafetyComputationsTest DerivedSafetyTest DerivingMainTest GenerateSafeDistancesAndDurationsTest GivenSafetyTest InferringMainTest InterpolatedSafetyTest InterpolatingMainTest IsInferredSafeTest IsInterpolatedOneParameterSafetyTest IsInterpolatedTwoParameterSafetyTest PrintGeneratedCombinationDerivedSafetyTest PrintGeneratedCombinationInferredSafetyTest PrintGivenAndGeneratedCombinationDerivedTest PrintSafeDistancesAndDurationsTest SafeSocializationtxtProvided SocialDistanceBasicMainProvided SocialDistanceDerivingMainProvided SocialDistanceInferringMainProvided SocialDistanceInterpolatingMainProvided SocialDistanceNoCheckstyleWarnings SocialDistanceUtilityProvided SocialDistanceUtilityTesterMainProvided , ,
15,Fri Sep 11 07:24:46 PDT 2020,28,24,UtilityClassSuite,DerivedSafetyTest+ GenerateSafeDistancesAndDurationsTest+ GivenSafetyTest+ IsInterpolatedOneParameterSafetyTest+ PrintSafeDistancesAndDurationsTest+ SocialDistanceClassRegistryProvided SocialDistanceUtilityProvided+ ,InterpolatedSafetyTest+ IsInterpolatedTwoParameterSafetyTest+ ,BasicMainTest CompareSafetyComputationsTest DerivingMainTest InferringMainTest InterpolatingMainTest IsInferredSafeTest PrintGeneratedCombinationDerivedSafetyTest PrintGeneratedCombinationInferredSafetyTest PrintGivenAndGeneratedCombinationDerivedTest SafeSocializationtxtProvided SocialDistanceBasicMainProvided SocialDistanceDerivingMainProvided SocialDistanceInferringMainProvided SocialDistanceInterpolatingMainProvided SocialDistanceNoCheckstyleWarnings SocialDistanceUtilityTesterMainProvided , ,
16,Fri Sep 11 07:24:52 PDT 2020,28,0,RequiredClassesSuite,DerivedSafetyTest GenerateSafeDistancesAndDurationsTest GivenSafetyTest IsInterpolatedOneParameterSafetyTest PrintSafeDistancesAndDurationsTest SocialDistanceClassRegistryProvided SocialDistanceUtilityProvided ,InterpolatedSafetyTest IsInterpolatedTwoParameterSafetyTest ,BasicMainTest CompareSafetyComputationsTest DerivingMainTest InferringMainTest InterpolatingMainTest IsInferredSafeTest PrintGeneratedCombinationDerivedSafetyTest PrintGeneratedCombinationInferredSafetyTest PrintGivenAndGeneratedCombinationDerivedTest SafeSocializationtxtProvided SocialDistanceBasicMainProvided SocialDistanceDerivingMainProvided SocialDistanceInferringMainProvided SocialDistanceInterpolatingMainProvided SocialDistanceNoCheckstyleWarnings SocialDistanceUtilityTesterMainProvided , ,
17,Fri Sep 11 07:26:10 PDT 2020,28,0,MainClassSuite,DerivedSafetyTest GenerateSafeDistancesAndDurationsTest GivenSafetyTest IsInterpolatedOneParameterSafetyTest PrintSafeDistancesAndDurationsTest SocialDistanceClassRegistryProvided SocialDistanceUtilityProvided ,InterpolatedSafetyTest IsInterpolatedTwoParameterSafetyTest ,BasicMainTest CompareSafetyComputationsTest DerivingMainTest InferringMainTest InterpolatingMainTest IsInferredSafeTest PrintGeneratedCombinationDerivedSafetyTest PrintGeneratedCombinationInferredSafetyTest PrintGivenAndGeneratedCombinationDerivedTest SafeSocializationtxtProvided SocialDistanceBasicMainProvided SocialDistanceDerivingMainProvided SocialDistanceInferringMainProvided SocialDistanceInterpolatingMainProvided SocialDistanceNoCheckstyleWarnings SocialDistanceUtilityTesterMainProvided , ,
18,Fri Sep 11 07:26:12 PDT 2020,28,0,StyleSuite,DerivedSafetyTest GenerateSafeDistancesAndDurationsTest GivenSafetyTest IsInterpolatedOneParameterSafetyTest PrintSafeDistancesAndDurationsTest SocialDistanceClassRegistryProvided SocialDistanceUtilityProvided ,InterpolatedSafetyTest IsInterpolatedTwoParameterSafetyTest ,BasicMainTest CompareSafetyComputationsTest DerivingMainTest InferringMainTest InterpolatingMainTest IsInferredSafeTest PrintGeneratedCombinationDerivedSafetyTest PrintGeneratedCombinationInferredSafetyTest PrintGivenAndGeneratedCombinationDerivedTest SafeSocializationtxtProvided SocialDistanceBasicMainProvided SocialDistanceDerivingMainProvided SocialDistanceInferringMainProvided SocialDistanceInterpolatingMainProvided SocialDistanceNoCheckstyleWarnings SocialDistanceUtilityTesterMainProvided , ,
19,Fri Sep 11 07:26:13 PDT 2020,28,0,UtilityClassSuite,DerivedSafetyTest GenerateSafeDistancesAndDurationsTest GivenSafetyTest IsInterpolatedOneParameterSafetyTest PrintSafeDistancesAndDurationsTest SocialDistanceClassRegistryProvided SocialDistanceUtilityProvided ,InterpolatedSafetyTest IsInterpolatedTwoParameterSafetyTest ,BasicMainTest CompareSafetyComputationsTest DerivingMainTest InferringMainTest InterpolatingMainTest IsInferredSafeTest PrintGeneratedCombinationDerivedSafetyTest PrintGeneratedCombinationInferredSafetyTest PrintGivenAndGeneratedCombinationDerivedTest SafeSocializationtxtProvided SocialDistanceBasicMainProvided SocialDistanceDerivingMainProvided SocialDistanceInferringMainProvided SocialDistanceInterpolatingMainProvided SocialDistanceNoCheckstyleWarnings SocialDistanceUtilityTesterMainProvided , ,
20,Fri Sep 11 07:27:06 PDT 2020,28,0,MainClassSuite,DerivedSafetyTest GenerateSafeDistancesAndDurationsTest GivenSafetyTest IsInterpolatedOneParameterSafetyTest PrintSafeDistancesAndDurationsTest SocialDistanceClassRegistryProvided SocialDistanceUtilityProvided ,InterpolatedSafetyTest IsInterpolatedTwoParameterSafetyTest ,BasicMainTest CompareSafetyComputationsTest DerivingMainTest InferringMainTest InterpolatingMainTest IsInferredSafeTest PrintGeneratedCombinationDerivedSafetyTest PrintGeneratedCombinationInferredSafetyTest PrintGivenAndGeneratedCombinationDerivedTest SafeSocializationtxtProvided SocialDistanceBasicMainProvided SocialDistanceDerivingMainProvided SocialDistanceInferringMainProvided SocialDistanceInterpolatingMainProvided SocialDistanceNoCheckstyleWarnings SocialDistanceUtilityTesterMainProvided , ,
21,Fri Sep 11 07:27:10 PDT 2020,28,0,UtilityClassSuite,DerivedSafetyTest GenerateSafeDistancesAndDurationsTest GivenSafetyTest IsInterpolatedOneParameterSafetyTest PrintSafeDistancesAndDurationsTest SocialDistanceClassRegistryProvided SocialDistanceUtilityProvided ,InterpolatedSafetyTest IsInterpolatedTwoParameterSafetyTest ,BasicMainTest CompareSafetyComputationsTest DerivingMainTest InferringMainTest InterpolatingMainTest IsInferredSafeTest PrintGeneratedCombinationDerivedSafetyTest PrintGeneratedCombinationInferredSafetyTest PrintGivenAndGeneratedCombinationDerivedTest SafeSocializationtxtProvided SocialDistanceBasicMainProvided SocialDistanceDerivingMainProvided SocialDistanceInferringMainProvided SocialDistanceInterpolatingMainProvided SocialDistanceNoCheckstyleWarnings SocialDistanceUtilityTesterMainProvided , ,
22,Fri Sep 11 07:28:46 PDT 2020,28,0,UtilityClassSuite,DerivedSafetyTest GenerateSafeDistancesAndDurationsTest GivenSafetyTest IsInterpolatedOneParameterSafetyTest PrintSafeDistancesAndDurationsTest SocialDistanceClassRegistryProvided SocialDistanceUtilityProvided ,InterpolatedSafetyTest IsInterpolatedTwoParameterSafetyTest ,BasicMainTest CompareSafetyComputationsTest DerivingMainTest InferringMainTest InterpolatingMainTest IsInferredSafeTest PrintGeneratedCombinationDerivedSafetyTest PrintGeneratedCombinationInferredSafetyTest PrintGivenAndGeneratedCombinationDerivedTest SafeSocializationtxtProvided SocialDistanceBasicMainProvided SocialDistanceDerivingMainProvided SocialDistanceInferringMainProvided SocialDistanceInterpolatingMainProvided SocialDistanceNoCheckstyleWarnings SocialDistanceUtilityTesterMainProvided , ,
23,Fri Sep 11 07:44:24 PDT 2020,28,0,UtilityClassSuite,DerivedSafetyTest GenerateSafeDistancesAndDurationsTest GivenSafetyTest IsInterpolatedOneParameterSafetyTest PrintSafeDistancesAndDurationsTest SocialDistanceClassRegistryProvided SocialDistanceUtilityProvided ,InterpolatedSafetyTest IsInterpolatedTwoParameterSafetyTest ,BasicMainTest CompareSafetyComputationsTest DerivingMainTest InferringMainTest InterpolatingMainTest IsInferredSafeTest PrintGeneratedCombinationDerivedSafetyTest PrintGeneratedCombinationInferredSafetyTest PrintGivenAndGeneratedCombinationDerivedTest SafeSocializationtxtProvided SocialDistanceBasicMainProvided SocialDistanceDerivingMainProvided SocialDistanceInferringMainProvided SocialDistanceInterpolatingMainProvided SocialDistanceNoCheckstyleWarnings SocialDistanceUtilityTesterMainProvided , ,
24,Fri Sep 11 08:07:52 PDT 2020,36,8,UtilityClassSuite,DerivedSafetyTest GenerateSafeDistancesAndDurationsTest GivenSafetyTest InterpolatedSafetyTest+ IsInterpolatedOneParameterSafetyTest IsInterpolatedTwoParameterSafetyTest+ PrintSafeDistancesAndDurationsTest SocialDistanceClassRegistryProvided SocialDistanceUtilityProvided , ,BasicMainTest CompareSafetyComputationsTest DerivingMainTest InferringMainTest InterpolatingMainTest IsInferredSafeTest PrintGeneratedCombinationDerivedSafetyTest PrintGeneratedCombinationInferredSafetyTest PrintGivenAndGeneratedCombinationDerivedTest SafeSocializationtxtProvided SocialDistanceBasicMainProvided SocialDistanceDerivingMainProvided SocialDistanceInferringMainProvided SocialDistanceInterpolatingMainProvided SocialDistanceNoCheckstyleWarnings SocialDistanceUtilityTesterMainProvided , ,
25,Fri Sep 11 08:08:04 PDT 2020,36,0,RequiredClassesSuite,DerivedSafetyTest GenerateSafeDistancesAndDurationsTest GivenSafetyTest InterpolatedSafetyTest IsInterpolatedOneParameterSafetyTest IsInterpolatedTwoParameterSafetyTest PrintSafeDistancesAndDurationsTest SocialDistanceClassRegistryProvided SocialDistanceUtilityProvided , ,BasicMainTest CompareSafetyComputationsTest DerivingMainTest InferringMainTest InterpolatingMainTest IsInferredSafeTest PrintGeneratedCombinationDerivedSafetyTest PrintGeneratedCombinationInferredSafetyTest PrintGivenAndGeneratedCombinationDerivedTest SafeSocializationtxtProvided SocialDistanceBasicMainProvided SocialDistanceDerivingMainProvided SocialDistanceInferringMainProvided SocialDistanceInterpolatingMainProvided SocialDistanceNoCheckstyleWarnings SocialDistanceUtilityTesterMainProvided , ,
26,Fri Sep 11 08:09:16 PDT 2020,36,0,RequiredClassesSuite,DerivedSafetyTest GenerateSafeDistancesAndDurationsTest GivenSafetyTest InterpolatedSafetyTest IsInterpolatedOneParameterSafetyTest IsInterpolatedTwoParameterSafetyTest PrintSafeDistancesAndDurationsTest SocialDistanceClassRegistryProvided SocialDistanceUtilityProvided , ,BasicMainTest CompareSafetyComputationsTest DerivingMainTest InferringMainTest InterpolatingMainTest IsInferredSafeTest PrintGeneratedCombinationDerivedSafetyTest PrintGeneratedCombinationInferredSafetyTest PrintGivenAndGeneratedCombinationDerivedTest SafeSocializationtxtProvided SocialDistanceBasicMainProvided SocialDistanceDerivingMainProvided SocialDistanceInferringMainProvided SocialDistanceInterpolatingMainProvided SocialDistanceNoCheckstyleWarnings SocialDistanceUtilityTesterMainProvided , ,
27,Fri Sep 11 08:09:23 PDT 2020,36,0,MainClassSuite,DerivedSafetyTest GenerateSafeDistancesAndDurationsTest GivenSafetyTest InterpolatedSafetyTest IsInterpolatedOneParameterSafetyTest IsInterpolatedTwoParameterSafetyTest PrintSafeDistancesAndDurationsTest SocialDistanceClassRegistryProvided SocialDistanceUtilityProvided , ,BasicMainTest CompareSafetyComputationsTest DerivingMainTest InferringMainTest InterpolatingMainTest IsInferredSafeTest PrintGeneratedCombinationDerivedSafetyTest PrintGeneratedCombinationInferredSafetyTest PrintGivenAndGeneratedCombinationDerivedTest SafeSocializationtxtProvided SocialDistanceBasicMainProvided SocialDistanceDerivingMainProvided SocialDistanceInferringMainProvided SocialDistanceInterpolatingMainProvided SocialDistanceNoCheckstyleWarnings SocialDistanceUtilityTesterMainProvided , ,
28,Fri Sep 11 08:09:25 PDT 2020,36,0,UtilityClassSuite,DerivedSafetyTest GenerateSafeDistancesAndDurationsTest GivenSafetyTest InterpolatedSafetyTest IsInterpolatedOneParameterSafetyTest IsInterpolatedTwoParameterSafetyTest PrintSafeDistancesAndDurationsTest SocialDistanceClassRegistryProvided SocialDistanceUtilityProvided , ,BasicMainTest CompareSafetyComputationsTest DerivingMainTest InferringMainTest InterpolatingMainTest IsInferredSafeTest PrintGeneratedCombinationDerivedSafetyTest PrintGeneratedCombinationInferredSafetyTest PrintGivenAndGeneratedCombinationDerivedTest SafeSocializationtxtProvided SocialDistanceBasicMainProvided SocialDistanceDerivingMainProvided SocialDistanceInferringMainProvided SocialDistanceInterpolatingMainProvided SocialDistanceNoCheckstyleWarnings SocialDistanceUtilityTesterMainProvided , ,
29,Fri Sep 11 08:09:40 PDT 2020,36,0,UtilityClassSuite,DerivedSafetyTest GenerateSafeDistancesAndDurationsTest GivenSafetyTest InterpolatedSafetyTest IsInterpolatedOneParameterSafetyTest IsInterpolatedTwoParameterSafetyTest PrintSafeDistancesAndDurationsTest SocialDistanceClassRegistryProvided SocialDistanceUtilityProvided , ,BasicMainTest CompareSafetyComputationsTest DerivingMainTest InferringMainTest InterpolatingMainTest IsInferredSafeTest PrintGeneratedCombinationDerivedSafetyTest PrintGeneratedCombinationInferredSafetyTest PrintGivenAndGeneratedCombinationDerivedTest SafeSocializationtxtProvided SocialDistanceBasicMainProvided SocialDistanceDerivingMainProvided SocialDistanceInferringMainProvided SocialDistanceInterpolatingMainProvided SocialDistanceNoCheckstyleWarnings SocialDistanceUtilityTesterMainProvided , ,
30,Fri Sep 11 08:10:52 PDT 2020,36,0,UtilityClassSuite,DerivedSafetyTest GenerateSafeDistancesAndDurationsTest GivenSafetyTest InterpolatedSafetyTest IsInterpolatedOneParameterSafetyTest IsInterpolatedTwoParameterSafetyTest PrintSafeDistancesAndDurationsTest SocialDistanceClassRegistryProvided SocialDistanceUtilityProvided , ,BasicMainTest CompareSafetyComputationsTest DerivingMainTest InferringMainTest InterpolatingMainTest IsInferredSafeTest PrintGeneratedCombinationDerivedSafetyTest PrintGeneratedCombinationInferredSafetyTest PrintGivenAndGeneratedCombinationDerivedTest SafeSocializationtxtProvided SocialDistanceBasicMainProvided SocialDistanceDerivingMainProvided SocialDistanceInferringMainProvided SocialDistanceInterpolatingMainProvided SocialDistanceNoCheckstyleWarnings SocialDistanceUtilityTesterMainProvided , ,
31,Fri Sep 11 08:11:34 PDT 2020,44,8,UtilityClassSuite,DerivedSafetyTest GenerateSafeDistancesAndDurationsTest GivenSafetyTest InterpolatedSafetyTest IsInterpolatedOneParameterSafetyTest IsInterpolatedTwoParameterSafetyTest PrintGeneratedCombinationDerivedSafetyTest+ PrintGivenAndGeneratedCombinationDerivedTest+ PrintSafeDistancesAndDurationsTest SocialDistanceClassRegistryProvided SocialDistanceUtilityProvided , ,BasicMainTest CompareSafetyComputationsTest DerivingMainTest InferringMainTest InterpolatingMainTest IsInferredSafeTest PrintGeneratedCombinationInferredSafetyTest SafeSocializationtxtProvided SocialDistanceBasicMainProvided SocialDistanceDerivingMainProvided SocialDistanceInferringMainProvided SocialDistanceInterpolatingMainProvided SocialDistanceNoCheckstyleWarnings SocialDistanceUtilityTesterMainProvided , ,
32,Fri Sep 11 08:18:27 PDT 2020,44,0,UtilityClassSuite,DerivedSafetyTest GenerateSafeDistancesAndDurationsTest GivenSafetyTest InterpolatedSafetyTest IsInterpolatedOneParameterSafetyTest IsInterpolatedTwoParameterSafetyTest PrintGeneratedCombinationDerivedSafetyTest PrintGivenAndGeneratedCombinationDerivedTest PrintSafeDistancesAndDurationsTest SocialDistanceClassRegistryProvided SocialDistanceUtilityProvided , ,BasicMainTest CompareSafetyComputationsTest DerivingMainTest InferringMainTest InterpolatingMainTest IsInferredSafeTest PrintGeneratedCombinationInferredSafetyTest SafeSocializationtxtProvided SocialDistanceBasicMainProvided SocialDistanceDerivingMainProvided SocialDistanceInferringMainProvided SocialDistanceInterpolatingMainProvided SocialDistanceNoCheckstyleWarnings SocialDistanceUtilityTesterMainProvided , ,
